timestamp,size,ctx,mode,warmup,steps,status,mean_ms,std_ms,median_ms,min_ms,p95_ms,peak_mem_gb,peak_resv_gb,tokens_per_sec,tflops,mfu,error
2026-05-26_02:59:23,small,512,forward,3,3,ok,23.29,0.1,23.25,,23.41,,,,,,
2026-05-26_03:00:19,medium,512,forward,3,3,ok,71.1,0.31,70.9,,71.48,,,,,,
2026-05-26_03:01:17,small,256,forward,3,3,ok,16.13,0.72,15.92,,16.97,,,,,,
2026-05-26_03:02:23,small,1024,forward,3,3,ok,71.38,0.15,71.28,,71.56,,,,,,
2026-05-26_03:03:37,small,512,full,3,3,ok,91.4,0.12,91.34,,91.54,,,,,,
2026-05-26_03:04:49,medium,512,full,3,3,ok,265.72,0.31,265.89,,265.97,,,,,,
2026-05-26_03:06:11,small,256,full,3,3,ok,64.88,1.86,64.2,,67.09,,,,,,
2026-05-26_03:07:13,small,1024,full,3,3,ok,246.73,0.27,246.83,,246.98,,,,,,
2026-05-26_03:08:13,small,512,forward_backward,3,3,ok,81.56,0.11,81.57,,81.68,,,,,,
2026-05-26_03:09:10,medium,512,forward_backward,3,3,ok,234.25,0.15,234.19,,234.42,,,,,,
2026-05-26_03:10:04,small,256,forward_backward,3,3,ok,50.5,1.39,51.22,,51.67,,,,,,
2026-05-26_03:11:01,small,1024,forward_backward,3,3,ok,237.33,0.19,237.23,,237.56,,,,,,
