mode,size,warmup,steps,mean_ms,std_ms,median_ms,p95_ms,peak_reserve_mem_gb,peak_alloc_mem_gb,error
forward,small,0,10,66.15,129.09,23.13,259.9,0.95,0.79,
forward,small,1,10,23.21,0.21,23.23,23.49,0.95,0.79,
forward,small,5,10,23.07,0.17,23.0,23.41,0.95,0.79,
forward,medium,0,10,111.09,118.21,71.67,288.53,2.15,2.03,
forward,medium,1,10,71.74,0.11,71.71,71.94,2.15,2.03,
forward,medium,5,10,71.74,0.09,71.74,71.89,2.15,2.03,
forward,large,0,10,209.54,131.05,165.86,406.31,4.48,4.39,
forward,large,1,10,165.86,0.1,165.83,166.03,4.48,4.39,
forward,large,5,10,166.03,0.13,165.98,166.25,4.48,4.39,
forward,xl,0,10,467.2,117.78,429.4,645.01,14.5,14.36,
forward,xl,1,10,427.26,2.22,427.63,429.6,14.5,14.36,
forward,xl,5,10,428.25,1.4,427.98,430.36,14.5,14.36,
forward,10B,0,10,,,,,,,rc=1
forward,10B,1,10,,,,,,,rc=1
forward,10B,5,10,,,,,,,rc=1
forward_backward,small,0,10,148.45,199.17,81.69,447.64,5.31,4.96,
forward_backward,small,1,10,81.97,0.55,81.7,83.06,5.31,4.96,
forward_backward,small,5,10,81.66,0.11,81.68,81.82,5.31,4.96,
forward_backward,medium,0,10,302.66,200.25,235.89,603.34,13.8,12.95,
forward_backward,medium,1,10,235.89,0.14,235.92,236.08,13.8,12.95,
forward_backward,medium,5,10,236.0,0.12,236.04,236.16,13.8,12.95,
forward_backward,large,0,10,,,,,,,rc=1
forward_backward,large,1,10,,,,,,,rc=1
forward_backward,large,5,10,,,,,,,rc=1
forward_backward,xl,0,10,,,,,,,rc=1
forward_backward,xl,1,10,,,,,,,rc=1
forward_backward,xl,5,10,,,,,,,rc=1
forward_backward,10B,0,10,,,,,,,rc=1
forward_backward,10B,1,10,,,,,,,rc=1
forward_backward,10B,5,10,,,,,,,rc=1
full,small,0,10,159.57,204.65,91.24,467.15,6.43,6.01,
full,small,1,10,91.4,0.57,91.24,92.33,6.43,6.01,
full,small,5,10,91.19,0.12,91.17,91.36,6.43,6.01,
full,medium,0,10,331.19,192.05,267.08,619.79,17.23,16.34,
full,medium,1,10,267.23,0.36,267.16,267.9,17.23,16.34,
full,medium,5,10,267.07,0.21,267.05,267.34,17.23,16.34,
full,large,0,10,,,,,,,rc=1
full,large,1,10,,,,,,,rc=1
full,large,5,10,,,,,,,rc=1
full,xl,0,10,,,,,,,rc=1
full,xl,1,10,,,,,,,rc=1
full,xl,5,10,,,,,,,rc=1
full,10B,0,10,,,,,,,rc=1
full,10B,1,10,,,,,,,rc=1
full,10B,5,10,,,,,,,rc=1
